Employee ID,Performance Score,Current Employee Rating,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost
3489,Fully Meets,2,02-Jul-23,Project Management,Internal,Passed,1,131.41
3490,Fully Meets,2,19-Jul-23,Technical Skills,Internal,Failed,3,389.59
3491,Fully Meets,5,14-Jul-23,Project Management,Internal,Incomplete,3,442.56
3492,Fully Meets,1,06-Sep-22,Project Management,Internal,Incomplete,3,327.66
3493,Fully Meets,5,19-Feb-23,Project Management,Internal,Completed,3,400.95
3494,Fully Meets,4,11-Feb-23,Technical Skills,Internal,Completed,2,910.45
3495,Fully Meets,4,21-Dec-22,Customer Service,External,Passed,1,701.55
3496,Fully Meets,5,16-Feb-23,Project Management,Internal,Incomplete,1,806.87
3497,Fully Meets,1,11-Mar-23,Communication Skills,Internal,Completed,2,184.21
3498,Fully Meets,2,30-May-23,Project Management,External,Failed,1,208.43
3499,Fully Meets,5,30-Jan-23,Technical Skills,Internal,Incomplete,2,762.45
3500,Fully Meets,1,15-Jun-23,Leadership Development,External,Incomplete,4,779.79
3502,Fully Meets,1,03-Jan-23,Customer Service,External,Incomplete,3,427.12
3503,Fully Meets,4,20-Feb-23,Technical Skills,Internal,Completed,4,996.35
3504,Fully Meets,2,02-Jun-23,Communication Skills,Internal,Completed,5,963.23
3505,Fully Meets,1,13-Sep-22,Leadership Development,Internal,Failed,5,260.97
3506,Fully Meets,2,21-May-23,Leadership Development,Internal,Completed,1,781.81
3507,Fully Meets,4,25-May-23,Project Management,Internal,Passed,4,651.77
3508,Fully Meets,5,04-Apr-23,Communication Skills,External,Completed,1,568.22
3509,Fully Meets,2,04-Mar-23,Leadership Development,External,Completed,4,612.1
3510,Fully Meets,2,27-Oct-22,Technical Skills,External,Completed,4,473.23
3511,Fully Meets,4,07-Apr-23,Technical Skills,Internal,Completed,3,344.44
3514,Fully Meets,1,21-Feb-23,Leadership Development,Internal,Incomplete,3,975.46
3516,Fully Meets,5,22-Jun-23,Technical Skills,Internal,Incomplete,1,570.42
3517,Fully Meets,4,17-Sep-22,Technical Skills,Internal,Failed,3,391.31
3518,Fully Meets,2,27-Jun-23,Customer Service,Internal,Completed,3,826.58
3519,Fully Meets,2,11-Dec-22,Leadership Development,External,Incomplete,4,930.69
3520,Fully Meets,1,11-Sep-22,Customer Service,External,Incomplete,1,607.93
3521,Fully Meets,4,28-Feb-23,Communication Skills,Internal,Incomplete,5,723.5
3522,Fully Meets,1,05-May-23,Communication Skills,External,Completed,5,394.04
3523,Fully Meets,2,10-Jul-23,Leadership Development,External,Incomplete,2,451.18
3526,Fully Meets,4,15-Oct-22,Customer Service,Internal,Passed,2,360.5
3527,Fully Meets,1,06-Jan-23,Project Management,Internal,Failed,4,396.28
3528,Fully Meets,2,02-Mar-23,Technical Skills,External,Passed,1,465.96
3529,Fully Meets,2,04-Sep-22,Project Management,Internal,Incomplete,1,515.56
3530,Fully Meets,2,18-Jan-23,Customer Service,External,Passed,2,496.85
3531,Fully Meets,1,30-Nov-22,Leadership Development,External,Completed,3,629.46
3532,Fully Meets,1,02-May-23,Technical Skills,Internal,Failed,2,771.61
3533,Fully Meets,2,11-May-23,Leadership Development,Internal,Completed,4,418.4
3534,Fully Meets,4,21-May-23,Customer Service,Internal,Completed,3,900.96
3535,Fully Meets,4,25-Jun-23,Technical Skills,External,Incomplete,1,936.96
3536,Fully Meets,2,23-Nov-22,Leadership Development,External,Passed,5,269.03
3539,Fully Meets,5,17-Mar-23,Project Management,External,Failed,4,234.77
3540,Exceeds,4,26-Oct-22,Communication Skills,External,Incomplete,2,903.46
3541,Exceeds,2,22-May-23,Customer Service,External,Passed,4,380.3
3542,Needs Improvement,1,22-Aug-22,Project Management,Internal,Failed,4,511.42
3543,Fully Meets,2,21-May-23,Communication Skills,External,Passed,4,171.03
3544,Fully Meets,2,02-May-23,Leadership Development,External,Passed,3,842.93
3545,Fully Meets,1,04-May-23,Customer Service,External,Incomplete,5,581.12
3546,Exceeds,1,21-Nov-22,Project Management,External,Passed,4,426.45
3547,Needs Improvement,2,24-Apr-23,Technical Skills,External,Failed,4,805.05
3548,Fully Meets,1,16-Aug-22,Leadership Development,External,Passed,3,368.8
3549,Fully Meets,2,02-Nov-22,Communication Skills,External,Failed,5,788.67
3551,Needs Improvement,4,27-Oct-22,Communication Skills,External,Incomplete,1,570.13
3552,Needs Improvement,1,26-Nov-22,Leadership Development,External,Failed,4,480.87
3553,Fully Meets,4,11-Dec-22,Project Management,Internal,Incomplete,5,689.48
3554,Fully Meets,1,05-Jun-23,Project Management,Internal,Completed,4,283.33
3555,Fully Meets,4,04-Mar-23,Leadership Development,External,Passed,4,566.12
3556,Exceeds,2,11-Feb-23,Customer Service,Internal,Incomplete,1,513.92
3557,Fully Meets,2,04-Feb-23,Project Management,External,Failed,1,210.38
3558,Fully Meets,1,18-Jul-23,Technical Skills,Internal,Completed,1,941.54
3559,Fully Meets,2,30-Nov-22,Project Management,External,Failed,2,959.81
3560,Exceeds,4,22-May-23,Technical Skills,External,Passed,1,738.92
3561,Fully Meets,5,07-Sep-22,Technical Skills,External,Failed,5,445.04
3563,PIP,4,06-Apr-23,Leadership Development,External,Passed,4,886.9
3564,Fully Meets,1,10-Dec-22,Technical Skills,External,Incomplete,4,106.14
3565,Fully Meets,4,06-May-23,Project Management,External,Passed,4,684.35
3566,Fully Meets,2,05-Sep-22,Communication Skills,Internal,Failed,2,578.81
3567,Fully Meets,4,09-Jun-23,Customer Service,Internal,Completed,5,764.51
3568,Fully Meets,2,23-Aug-22,Project Management,Internal,Incomplete,2,201.76
3569,Fully Meets,2,09-Nov-22,Technical Skills,External,Incomplete,4,730.04
3570,Fully Meets,1,29-Mar-23,Project Management,External,Failed,2,796.88
3571,Fully Meets,4,04-Aug-23,Project Management,External,Completed,3,834.44
3572,Fully Meets,5,19-May-23,Leadership Development,Internal,Failed,5,569.17
3573,Exceeds,4,06-Oct-22,Customer Service,Internal,Completed,4,386.07
3575,Exceeds,5,12-Dec-22,Technical Skills,Internal,Incomplete,3,583.21
3576,Exceeds,4,02-Feb-23,Project Management,External,Completed,5,398.65
3577,Fully Meets,4,26-Jan-23,Communication Skills,Internal,Passed,5,931.46
3578,Exceeds,2,01-Dec-22,Project Management,External,Completed,5,115.06
3579,Needs Improvement,4,27-Apr-23,Communication Skills,External,Failed,2,199.82
3580,Fully Meets,4,04-Nov-22,Communication Skills,Internal,Failed,5,940.2
3581,Fully Meets,2,29-Jan-23,Communication Skills,External,Completed,1,122.07
3582,Fully Meets,4,09-Sep-22,Communication Skills,Internal,Completed,4,875.02
3583,Needs Improvement,4,18-Mar-23,Communication Skills,Internal,Incomplete,4,116.4
3584,Fully Meets,4,15-Dec-22,Technical Skills,External,Passed,5,341.78
3585,Fully Meets,4,14-Feb-23,Communication Skills,Internal,Completed,4,107.48
3586,Fully Meets,2,30-Sep-22,Communication Skills,External,Completed,1,502.7
3587,Fully Meets,2,22-Mar-23,Leadership Development,External,Completed,5,570.04
3588,Fully Meets,2,23-Mar-23,Communication Skills,External,Passed,1,538.83
3589,Fully Meets,1,07-Jan-23,Communication Skills,Internal,Incomplete,4,881.8
3593,Fully Meets,1,15-Jun-23,Project Management,Internal,Incomplete,3,258.07
3594,Needs Improvement,1,05-May-23,Leadership Development,Internal,Passed,5,472.64
3595,Fully Meets,1,21-Feb-23,Technical Skills,External,Passed,2,252.88
3596,Needs Improvement,2,14-Dec-22,Technical Skills,Internal,Incomplete,2,289.68
3598,Needs Improvement,1,11-Oct-22,Technical Skills,Internal,Passed,3,373.87
3599,Fully Meets,2,02-Mar-23,Leadership Development,Internal,Completed,5,918.86
3600,Fully Meets,2,01-Nov-22,Leadership Development,Internal,Passed,4,299.7
3601,Fully Meets,5,03-Jan-23,Project Management,External,Completed,1,865.58
3602,Fully Meets,5,09-Apr-23,Technical Skills,External,Incomplete,1,632.59
3603,Fully Meets,2,02-Oct-22,Technical Skills,External,Incomplete,3,680.48
3604,Needs Improvement,4,23-Mar-23,Project Management,External,Failed,3,287.71
3605,Fully Meets,4,17-Nov-22,Communication Skills,External,Passed,2,102.92
3606,Fully Meets,3,31-Oct-22,Project Management,Internal,Passed,2,255.6
3607,Fully Meets,5,04-May-23,Customer Service,External,Passed,4,321.91
3608,Fully Meets,3,14-Mar-23,Project Management,External,Completed,3,834.12
3609,Fully Meets,3,23-Sep-22,Customer Service,Internal,Passed,4,273.88
3610,Fully Meets,3,15-Feb-23,Customer Service,Internal,Incomplete,4,217.57
3611,Fully Meets,2,07-Jan-23,Customer Service,Internal,Completed,1,482.09
3612,PIP,4,03-Jul-23,Leadership Development,External,Failed,2,614.11
3613,Exceeds,1,08-Oct-22,Customer Service,Internal,Incomplete,1,354.22
3614,Fully Meets,2,04-Jun-23,Leadership Development,External,Passed,3,868.85
3616,Fully Meets,4,30-Jan-23,Customer Service,Internal,Incomplete,4,134.93
3617,Fully Meets,1,09-Apr-23,Customer Service,Internal,Completed,5,531.1
3618,Fully Meets,3,26-Dec-22,Leadership Development,External,Passed,3,609.3
3619,Fully Meets,3,10-Nov-22,Project Management,Internal,Passed,2,656.68
3620,Fully Meets,2,20-Dec-22,Technical Skills,Internal,Completed,3,654.22
3621,Fully Meets,2,15-Jul-23,Leadership Development,External,Passed,3,879.89
3622,Fully Meets,3,11-May-23,Project Management,External,Completed,1,977.23
3623,Fully Meets,3,03-Aug-23,Project Management,External,Completed,2,763.37
3624,Fully Meets,4,05-Apr-23,Communication Skills,External,Passed,5,962.13
3625,Fully Meets,5,26-Mar-23,Technical Skills,External,Incomplete,2,617.27
3626,Fully Meets,2,25-Sep-22,Communication Skills,Internal,Failed,2,559.78
3627,Fully Meets,3,30-Aug-22,Leadership Development,Internal,Incomplete,5,113.89
3628,Fully Meets,3,25-Sep-22,Leadership Development,Internal,Incomplete,4,858.62
3629,Fully Meets,5,30-Jul-23,Technical Skills,Internal,Incomplete,1,343.76
3630,Fully Meets,5,24-Sep-22,Technical Skills,Internal,Failed,5,507.58
3631,Fully Meets,3,10-Apr-23,Customer Service,Internal,Completed,1,691.12
3632,Fully Meets,3,23-Jun-23,Technical Skills,Internal,Completed,2,174.85
3633,Fully Meets,5,01-Dec-22,Communication Skills,Internal,Incomplete,3,699.39
3634,Fully Meets,5,15-Sep-22,Technical Skills,External,Incomplete,3,254.68
3635,Fully Meets,4,13-Jun-23,Technical Skills,External,Failed,2,534.55
3636,Fully Meets,3,26-Aug-22,Communication Skills,External,Passed,3,795.72
3637,Fully Meets,3,21-Mar-23,Project Management,External,Completed,4,977.23
3638,Fully Meets,3,01-Jan-23,Customer Service,Internal,Completed,3,370.79
3640,Fully Meets,3,31-Jan-23,Communication Skills,External,Passed,1,699.48
3643,Fully Meets,3,27-Mar-23,Leadership Development,Internal,Completed,4,712.43
3644,Fully Meets,3,06-Feb-23,Technical Skills,Internal,Incomplete,1,504.66
3645,Fully Meets,3,06-May-23,Leadership Development,External,Incomplete,5,398.36
3646,Fully Meets,3,22-Jul-23,Communication Skills,External,Failed,4,533.61
3647,Fully Meets,3,10-Aug-22,Technical Skills,Internal,Completed,4,199.55
3648,Exceeds,4,26-Feb-23,Leadership Development,Internal,Completed,2,325.78
3649,Exceeds,4,18-Dec-22,Leadership Development,External,Completed,4,336.33
3650,Fully Meets,3,09-Jan-23,Communication Skills,External,Passed,4,242.71
3651,Fully Meets,3,14-May-23,Leadership Development,Internal,Failed,4,651.28
3652,Fully Meets,3,31-Jan-23,Communication Skills,External,Incomplete,3,962.45
3653,Exceeds,3,20-Jan-23,Customer Service,External,Failed,1,791.72
3654,Exceeds,4,11-Apr-23,Project Management,Internal,Incomplete,4,553.86
3655,Fully Meets,3,04-Jan-23,Technical Skills,External,Passed,1,735.72
3656,Exceeds,5,14-Jun-23,Project Management,Internal,Failed,4,867.03
3657,Fully Meets,4,26-May-23,Project Management,External,Incomplete,1,710.14
3658,Fully Meets,3,18-Aug-22,Leadership Development,External,Incomplete,2,799.88
3659,Exceeds,1,27-Jan-23,Leadership Development,External,Passed,5,242.87
3660,Exceeds,3,19-May-23,Leadership Development,Internal,Passed,4,849.77
3661,Fully Meets,3,06-May-23,Customer Service,External,Passed,2,471.5
3662,Exceeds,2,20-May-23,Customer Service,Internal,Passed,1,535.93
3665,Fully Meets,3,09-Jan-23,Project Management,Internal,Passed,3,752.33
3666,Fully Meets,3,02-Aug-23,Project Management,Internal,Completed,3,343.52
3667,Fully Meets,3,03-Feb-23,Leadership Development,Internal,Completed,3,860.31
3668,Needs Improvement,3,28-Nov-22,Customer Service,External,Completed,4,265.55
3669,Fully Meets,3,03-Aug-23,Project Management,Internal,Completed,1,183.85
3670,Needs Improvement,3,25-Sep-22,Project Management,External,Completed,5,942.09
3671,Needs Improvement,3,20-Jan-23,Communication Skills,External,Passed,4,381.94
3672,Fully Meets,3,29-Aug-22,Project Management,External,Failed,1,358.73
3673,Fully Meets,3,21-Mar-23,Customer Service,External,Passed,3,578.02
3674,Fully Meets,3,08-Nov-22,Project Management,Internal,Completed,2,223.29
3675,Fully Meets,3,07-Sep-22,Customer Service,Internal,Passed,5,992.37
3676,Fully Meets,3,10-Feb-23,Customer Service,Internal,Failed,5,113.48
3677,Fully Meets,3,05-Oct-22,Leadership Development,External,Incomplete,4,882.2
3678,Fully Meets,3,06-Sep-22,Customer Service,Internal,Incomplete,2,288.16
3679,Fully Meets,3,16-Jan-23,Leadership Development,External,Completed,1,815.52
3680,Fully Meets,3,15-May-23,Leadership Development,Internal,Completed,4,461.06
3681,Fully Meets,3,22-Mar-23,Customer Service,External,Incomplete,2,580.16
3682,Fully Meets,4,17-Oct-22,Communication Skills,External,Incomplete,3,336.69
3683,Fully Meets,3,28-Dec-22,Project Management,Internal,Completed,1,990.69
3684,Fully Meets,3,29-Oct-22,Communication Skills,Internal,Completed,2,939.39
3685,Fully Meets,3,06-Jan-23,Leadership Development,External,Passed,1,941.12
3687,Exceeds,1,26-Dec-22,Customer Service,External,Incomplete,3,614.53
3689,Exceeds,3,25-Feb-23,Communication Skills,External,Passed,1,734.94
3690,Needs Improvement,3,03-Apr-23,Technical Skills,Internal,Completed,5,589.5
3691,Needs Improvement,1,06-Mar-23,Leadership Development,Internal,Completed,3,311.28
3692,Needs Improvement,3,29-Mar-23,Technical Skills,Internal,Passed,5,671.88
3693,Exceeds,2,24-Jan-23,Project Management,External,Completed,1,861.5
3694,PIP,4,19-May-23,Leadership Development,External,Completed,2,649.18
3695,PIP,4,08-Jan-23,Project Management,External,Failed,4,492.2
3696,PIP,3,13-Jan-23,Technical Skills,Internal,Passed,2,299.59
3697,PIP,4,24-Apr-23,Technical Skills,Internal,Failed,2,982.33
3698,PIP,3,24-Dec-22,Leadership Development,External,Passed,2,830.36
3699,PIP,2,19-Aug-22,Customer Service,External,Passed,1,973.34
3700,PIP,1,25-Feb-23,Project Management,Internal,Failed,4,667.34
3701,PIP,2,21-Aug-22,Communication Skills,Internal,Failed,4,480.17
3702,Exceeds,3,15-Feb-23,Leadership Development,External,Failed,3,346.28
3703,Exceeds,4,27-Dec-22,Communication Skills,External,Completed,3,121.45
3704,Exceeds,5,07-Oct-22,Technical Skills,External,Incomplete,2,669.3
3705,Exceeds,3,17-Apr-23,Technical Skills,Internal,Completed,5,983.59
3706,Exceeds,3,07-Jun-23,Customer Service,Internal,Completed,1,304.9
3707,Exceeds,3,24-Dec-22,Leadership Development,External,Passed,3,778.72
3708,Exceeds,4,03-Jan-23,Customer Service,External,Passed,4,136.15
3709,Exceeds,5,07-Apr-23,Leadership Development,Internal,Incomplete,4,339.84
3710,Exceeds,1,02-Jun-23,Leadership Development,External,Completed,1,791.78
3711,Needs Improvement,1,19-Oct-22,Leadership Development,External,Incomplete,5,853.26
3713,Fully Meets,3,17-May-23,Customer Service,External,Incomplete,5,235.82
3714,Fully Meets,4,18-May-23,Leadership Development,Internal,Passed,5,448.57
3715,Fully Meets,4,11-Jan-23,Leadership Development,External,Incomplete,3,572.56
3716,Fully Meets,1,07-Mar-23,Project Management,Internal,Incomplete,4,959.78
3717,Fully Meets,2,22-Aug-22,Communication Skills,External,Passed,3,363.02
3718,Fully Meets,4,02-May-23,Communication Skills,Internal,Completed,2,325.7
3719,Fully Meets,3,08-Oct-22,Project Management,Internal,Incomplete,3,727.75
3720,Fully Meets,3,23-Sep-22,Project Management,Internal,Passed,2,845.21
3721,Fully Meets,2,22-Dec-22,Technical Skills,External,Incomplete,4,327.82
3722,Fully Meets,2,15-Jan-23,Communication Skills,Internal,Passed,1,512.55
3723,Fully Meets,3,06-Sep-22,Communication Skills,Internal,Completed,1,457.17
3724,Fully Meets,4,28-Jun-23,Communication Skills,Internal,Incomplete,4,573.33
3725,Fully Meets,1,23-May-23,Customer Service,External,Failed,3,135.18
3726,Fully Meets,4,13-Jan-23,Communication Skills,External,Failed,3,911.12
3727,Fully Meets,3,02-May-23,Project Management,Internal,Incomplete,5,693.8
3728,Fully Meets,5,10-Jul-23,Customer Service,Internal,Completed,5,419.79
3729,Fully Meets,3,12-Dec-22,Customer Service,External,Failed,1,693.56
3730,Fully Meets,4,29-Aug-22,Leadership Development,External,Incomplete,1,161.47
3731,Fully Meets,3,02-May-23,Project Management,External,Passed,5,773.63
3732,Fully Meets,5,09-Dec-22,Technical Skills,Internal,Incomplete,5,695.42
3734,Fully Meets,3,05-Mar-23,Communication Skills,Internal,Failed,2,702.69
3735,Fully Meets,1,25-Oct-22,Technical Skills,External,Failed,1,473.1
3736,Fully Meets,2,25-Oct-22,Project Management,Internal,Incomplete,2,119.82
3737,Fully Meets,5,17-Nov-22,Customer Service,External,Failed,1,157.8
3738,Fully Meets,3,01-Sep-22,Technical Skills,Internal,Completed,3,791.98
3739,Fully Meets,3,19-Aug-22,Customer Service,External,Incomplete,5,752.97
3740,Fully Meets,4,11-Sep-22,Leadership Development,External,Completed,5,916.21
3741,Fully Meets,1,05-Oct-22,Project Management,External,Completed,2,751.04
3742,Fully Meets,2,22-Apr-23,Communication Skills,Internal,Passed,3,620.63
3743,Fully Meets,2,17-Nov-22,Leadership Development,Internal,Passed,3,439.3
3744,Fully Meets,5,23-May-23,Communication Skills,Internal,Completed,1,716.39
3745,Fully Meets,4,11-Oct-22,Technical Skills,External,Failed,5,300.33
3746,Fully Meets,3,22-Feb-23,Project Management,Internal,Passed,3,337.15
3747,Fully Meets,2,18-Oct-22,Leadership Development,External,Failed,5,725.6
3748,Fully Meets,1,23-Dec-22,Customer Service,Internal,Failed,5,588.88
3749,Fully Meets,4,28-Sep-22,Technical Skills,External,Passed,4,742.98
3750,Fully Meets,1,27-Sep-22,Project Management,External,Passed,5,283.05
3751,Fully Meets,3,10-Nov-22,Customer Service,Internal,Incomplete,4,511.13
3752,Fully Meets,2,31-May-23,Communication Skills,Internal,Completed,1,158.86
3753,Fully Meets,4,19-Sep-22,Project Management,External,Failed,1,741.95
3754,Fully Meets,1,08-Mar-23,Technical Skills,External,Incomplete,4,132.52
3756,Fully Meets,3,27-Mar-23,Technical Skills,External,Failed,4,521.51
3758,Fully Meets,3,16-Jan-23,Leadership Development,Internal,Failed,4,917.17
3759,Fully Meets,1,11-Aug-22,Project Management,Internal,Completed,2,790.71
3760,Fully Meets,3,28-Nov-22,Technical Skills,External,Passed,1,680.48
3761,Fully Meets,1,18-Aug-22,Customer Service,External,Failed,1,947.57
3762,Fully Meets,2,15-Jun-23,Project Management,Internal,Failed,2,594.61
3763,Fully Meets,3,13-Nov-22,Technical Skills,External,Incomplete,1,775.59
3764,Fully Meets,3,30-Aug-22,Communication Skills,External,Incomplete,2,239.16
3765,Fully Meets,3,25-Nov-22,Customer Service,Internal,Completed,5,275.94
3766,Fully Meets,3,27-Mar-23,Technical Skills,Internal,Incomplete,4,466.32
3767,Fully Meets,2,12-Oct-22,Leadership Development,Internal,Completed,4,840.46
3768,Fully Meets,4,04-Jan-23,Leadership Development,Internal,Completed,3,145.76
3769,Fully Meets,3,12-Oct-22,Project Management,Internal,Incomplete,2,647.7
3770,Fully Meets,3,05-Jul-23,Project Management,Internal,Incomplete,2,536.2
3771,Fully Meets,3,26-Mar-23,Communication Skills,Internal,Incomplete,5,769.97
3772,Fully Meets,3,01-Jan-23,Communication Skills,External,Completed,1,894.66
3773,Fully Meets,3,15-Nov-22,Project Management,External,Failed,2,374.02
3774,Fully Meets,3,04-Feb-23,Leadership Development,Internal,Passed,5,569.42
3775,Fully Meets,3,14-Nov-22,Customer Service,Internal,Completed,1,172.82
3776,Fully Meets,3,05-Feb-23,Project Management,Internal,Completed,4,585.84
3777,Fully Meets,3,13-Oct-22,Project Management,External,Completed,1,759.38
3778,Fully Meets,3,13-Sep-22,Customer Service,Internal,Completed,5,341.74
3782,Fully Meets,3,11-Dec-22,Technical Skills,Internal,Passed,5,506.4
3783,Fully Meets,3,25-Jan-23,Technical Skills,External,Completed,5,851.24
3784,Fully Meets,3,12-Oct-22,Communication Skills,Internal,Completed,2,671.12
3785,Fully Meets,3,01-Oct-22,Project Management,External,Passed,1,257.8
3786,Fully Meets,3,17-Apr-23,Leadership Development,External,Failed,4,280.06
3787,Fully Meets,3,26-Apr-23,Project Management,External,Passed,4,140.03
3788,Fully Meets,3,21-Mar-23,Customer Service,External,Completed,2,796.95
3789,Fully Meets,3,26-Oct-22,Technical Skills,External,Incomplete,1,997.38
3790,Fully Meets,3,18-Mar-23,Communication Skills,External,Completed,2,676.95
3791,Fully Meets,3,12-Feb-23,Leadership Development,External,Failed,2,348.89
3792,Fully Meets,3,09-Sep-22,Project Management,External,Passed,1,385.62
3793,Fully Meets,3,24-Nov-22,Project Management,Internal,Completed,2,552.67
3794,Fully Meets,5,17-Apr-23,Communication Skills,External,Failed,2,645.11
3795,Exceeds,3,25-Jan-23,Project Management,External,Passed,1,954.02
3796,Exceeds,3,03-Jul-23,Technical Skills,External,Incomplete,5,255.74
3797,Fully Meets,3,09-Mar-23,Technical Skills,External,Completed,2,279.38
3798,Fully Meets,3,22-Aug-22,Project Management,External,Passed,5,303.44
3799,Exceeds,3,07-Aug-22,Communication Skills,Internal,Incomplete,4,809.38
3800,Fully Meets,3,14-Oct-22,Customer Service,Internal,Completed,4,886.12
3801,Fully Meets,3,01-Apr-23,Leadership Development,External,Incomplete,2,125.88
3802,Fully Meets,3,24-Jan-23,Leadership Development,Internal,Passed,1,493.72
3804,Fully Meets,3,15-Feb-23,Customer Service,External,Incomplete,4,414.55
3805,Fully Meets,3,31-Aug-22,Communication Skills,External,Incomplete,1,391.88
3806,Fully Meets,3,09-Sep-22,Customer Service,External,Passed,4,600.64
3807,Fully Meets,3,26-Mar-23,Communication Skills,External,Passed,1,997.74
3808,Fully Meets,3,25-Jan-23,Technical Skills,External,Passed,4,254.26
3809,Fully Meets,3,21-Oct-22,Technical Skills,External,Incomplete,3,786.62
3810,Fully Meets,3,21-Dec-22,Communication Skills,External,Completed,3,189.7
3811,Fully Meets,3,15-May-23,Technical Skills,External,Completed,2,484.02
3812,Fully Meets,3,02-Jun-23,Communication Skills,Internal,Failed,5,299.74
3813,Fully Meets,3,21-Jul-23,Technical Skills,Internal,Failed,1,169.79
3815,Fully Meets,3,05-Feb-23,Project Management,Internal,Failed,1,910.09
3816,Fully Meets,3,20-Dec-22,Communication Skills,External,Passed,5,912.1
3817,Needs Improvement,3,07-Mar-23,Customer Service,Internal,Incomplete,4,456.65
3818,Fully Meets,3,07-Nov-22,Leadership Development,External,Incomplete,4,313.5
3819,Fully Meets,3,29-Dec-22,Leadership Development,Internal,Incomplete,3,906.45
3820,Fully Meets,3,19-Aug-22,Project Management,External,Incomplete,2,333.8
