skill,missing_count,severity,avg_importance_score
Apple macOS,94,MEDIUM,4.0
Adobe InDesign,90,MEDIUM,4.0
HubSpot software,87,MEDIUM,4.0
FaceTime,81,MEDIUM,3.0
Computer integrated manufacturing CIM software,78,MEDIUM,3.0
Google Slides,77,MEDIUM,3.0
IBM InfoSphere DataStage,77,MEDIUM,3.0
SAP Crystal Reports,77,MEDIUM,3.0
Blackbaud The Raiser's Edge,76,MEDIUM,3.0
Microsoft Dynamics GP,76,MEDIUM,3.0
Oracle Eloqua,76,MEDIUM,3.0
Landtec System Software LFG Pro,75,MEDIUM,3.0
Marketo Marketing Automation,75,MEDIUM,4.0
ProcessPro Premier,73,MEDIUM,3.0
Social media sites,73,MEDIUM,3.0
Evernote,73,MEDIUM,3.0
Exact Software JobBOSS,72,MEDIUM,3.0
Google Ads,72,MEDIUM,3.0
PTC Creo Parametric,71,MEDIUM,3.0
Sage 50 Accounting,71,MEDIUM,3.0
Kronos Workforce Timekeeper,70,MEDIUM,4.0
Adobe Creative Cloud software,70,MEDIUM,4.0
Tax software,70,MEDIUM,3.0
WorkSchedule.net,69,MEDIUM,3.0
Microsoft Visual Basic for Applications VBA,69,MEDIUM,4.0
ABB Optimize IT Predict & Control,68,MEDIUM,3.0
Landfill gas analysis software,68,MEDIUM,3.0
Facebook,68,MEDIUM,4.0
Tableau,68,MEDIUM,4.0
ADP Workforce Now,68,MEDIUM,3.0
Oracle PeopleSoft Financials,67,MEDIUM,3.0
Oracle Taleo,67,MEDIUM,3.0
Financial planning software,66,MEDIUM,3.0
Scadex Technologies MAESTRO,66,MEDIUM,3.0
LinkedIn,66,MEDIUM,3.0
Peminic Patient Safety & Quality Suite,66,MEDIUM,3.0
Adobe After Effects,66,MEDIUM,4.0
Computer integrated manufacturing CIM warehouse shipping manager software,65,MEDIUM,3.0
Microsoft Internet Explorer,65,MEDIUM,3.0
Human resource management software HRMS,65,MEDIUM,3.0
Schneider Electric CitectSCADA,64,MEDIUM,3.0
"Admissions, discharge, and transfer ADT software",64,MEDIUM,3.0
Citect IIM,64,MEDIUM,3.0
Prosys Open Platform Communications unified architecture software,64,MEDIUM,3.0
Google Analytics,64,MEDIUM,4.0
Epic EpicCare Inpatient Clinical System,64,MEDIUM,3.0
CitectSCADA Reports,63,MEDIUM,3.0
Clockware,63,MEDIUM,3.0
QUMAS quality management solution software,63,MEDIUM,3.0
Healthcare common procedure coding system HCPCS,63,MEDIUM,3.0
AVEVA InTouch HMI,63,MEDIUM,3.0
Blackboard software,63,MEDIUM,3.0
Epic Systems software,63,MEDIUM,3.0
Employee performance management system,63,MEDIUM,3.0
Computer integrated manufacturing CIM time manager software,62,MEDIUM,3.0
Distributed control system DCS,62,MEDIUM,3.0
Plant management software,62,MEDIUM,3.0
Airtable,62,MEDIUM,3.0
Kronos Workforce Payroll,62,MEDIUM,3.0
Oracle Fusion Applications,62,MEDIUM,3.0
Slack,62,MEDIUM,4.0
PracticeWorks Systems Kodak WINOMS CS,62,MEDIUM,3.0
Statistical process control SPC software,61,MEDIUM,3.0
Oracle Business Intelligence Enterprise Edition,61,MEDIUM,3.0
Oracle Hyperion,61,MEDIUM,3.0
Oracle Primavera Enterprise Project Portfolio Management,61,MEDIUM,4.0
WorkTech MAXIMO,61,MEDIUM,3.0
IBM Power Systems software,60,MEDIUM,3.0
Mozilla Thunderbird,60,MEDIUM,3.0
Pemimic Patient Relations Suite,60,MEDIUM,3.0
eClinicalWorks EHR software,59,MEDIUM,4.0
Industrial production manager and stock control software,59,MEDIUM,3.0
Marel production system MPS,59,MEDIUM,3.0
Oracle E-Business Suite Financials,59,MEDIUM,3.0
Manhattan Cross Cultural Group Quality Interactions,59,MEDIUM,3.0
Henry Schein Dentrix,58,MEDIUM,4.0
Prognosis Solutions ResolvPRM,58,MEDIUM,3.0
Customer Expressions i-Sight,58,MEDIUM,3.0
Computerized maintenance management system CMMS,57,MEDIUM,3.0
IBM Rational ClearQuest,57,MEDIUM,3.0
Employee scheduling software,57,MEDIUM,3.0
Google Drive,55,MEDIUM,3.0
rL Solutions Feedback MonitorPro,54,MEDIUM,3.0
Corel WordPerfect Office Suite,53,MEDIUM,3.0
CareOne CareEnsure,53,MEDIUM,3.0
Job control language JCL,53,MEDIUM,3.0
ActionWare,52,MEDIUM,3.0
AMG Teleran SalesInSync,52,MEDIUM,3.0
Datawatch Monarch,52,MEDIUM,3.0
Yardi software,52,MEDIUM,4.0
Epic Systems,51,MEDIUM,5.0
Patient satisfaction assessment software,51,MEDIUM,3.0
Screencastify,51,MEDIUM,3.0
Sage MAS 500,51,MEDIUM,3.0
Savant MobileRanger,51,MEDIUM,3.0
LSA Visual Easy Lean,51,MEDIUM,3.0
Flipgrid,50,MEDIUM,3.0
Software on Sailboats Desktop Sales Manager,50,MEDIUM,3.0
NetSuite NetCRM,49,LOW,3.0
Medical procedure coding software,48,LOW,3.0
HEAT Software GoldMine,48,LOW,3.0
Personnel scheduling software,48,LOW,3.0
Microsoft OneNote,48,LOW,3.0
Sugar CRM,48,LOW,3.0
Customer information control system CICS,47,LOW,3.0
Nagios,47,LOW,3.0
Quest Erwin Data Modeler,46,LOW,3.0
vtiger CRM,46,LOW,3.0
Complaint management software,45,LOW,3.0
Laboratory information management system LIMS,45,LOW,3.0
Deacom ERP,45,LOW,3.0
Veritas NetBackup,45,LOW,3.0
Vanguard Software Vanguard Sales Manager,45,LOW,3.0
Dynamic Energy Systems MedAct,45,LOW,3.0
Avidian Technologies Prophet,44,LOW,3.0
Delphi Technology,44,LOW,3.0
Microsoft FrontPage,44,LOW,3.0
Salesforce.com Salesforce CRM,44,LOW,3.0
Dropbox,44,LOW,3.0
Fund accounting software,43,LOW,3.0
GroupMe,43,LOW,3.0
InnQuest Software roomMaster,43,LOW,3.0
Payroll software,43,LOW,3.0
IBM Lotus 1-2-3,42,LOW,3.0
Puppet,42,LOW,4.0
PostgreSQL,42,LOW,4.0
STATISTICA,42,LOW,3.0
SeaMonkey,42,LOW,3.0
Geographic information system GIS software,41,LOW,3.0
Atlassian Confluence,41,LOW,4.0
CNC Mastercam,41,LOW,3.0
Siemens NX,41,LOW,3.0
Act!,40,LOW,3.0
Maximizer Software Maximizer Enterprise,39,LOW,3.0
Mozilla Firefox,38,LOW,4.0
Apple Keynote,36,LOW,3.0
Realization Streamliner,34,LOW,3.0
Clinical trial management software,31,LOW,3.0
Adobe Human Capital Application Solution Accelerator,31,LOW,3.0
Technomedia Hodes iQ,31,LOW,3.0
Online databases,30,LOW,3.0
Staffing Solutions Enterprises Staff Matrix,30,LOW,3.0
Assessment software,30,LOW,3.0
Loom,30,LOW,3.0
Recruit Wizard,29,LOW,3.0
HireAbility ResumeParser,29,LOW,3.0
Recruitpoint.net,29,LOW,3.0
Bond International Adapt Staffing,28,LOW,3.0
CVTracer,28,LOW,3.0
eQuest,28,LOW,3.0
GitHub,28,LOW,4.0
Zoom,28,LOW,4.0
Safari Software Products Safari,28,LOW,3.0
Human resource information system (HRIS),28,LOW,3.0
Industrial Code Recruitpoint.net,28,LOW,3.0
Data Frenzy,27,LOW,3.0
GoBackgrounds,27,LOW,3.0
ResumeRobot,27,LOW,3.0
Hypertext markup language HTML,27,LOW,4.0
Job posting software,27,LOW,3.0
Adobe Illustrator,26,LOW,4.0
Cluen executive recruitment software,26,LOW,3.0
Oracle HRIS,26,LOW,4.0
Candidate tracking software,26,LOW,3.0
Intelius,26,LOW,3.0
Microsoft SQL Server Reporting Services SSRS,26,LOW,4.0
Post Once,26,LOW,3.0
Adobe Dreamweaver,26,LOW,3.0
PowerPlace Professional,26,LOW,3.0
Intelligent Algorithms InfoGIST Platinum Recruiter,26,LOW,3.0
BrightMove Applicant Tracking System,25,LOW,3.0
RecruitTrack,25,LOW,3.0
Talent Technology HireDesk,25,LOW,3.0
Ellucian Banner Human Resources,25,LOW,3.0
Lawson Human Resource Management,25,LOW,3.0
StaffingSoft Staffing Edition,25,LOW,3.0
MPAY Millennium,25,LOW,3.0
Main Sequence Technologies PCRecruiter,25,LOW,3.0
PostingPal,24,LOW,3.0
HireLogic PowerPlace,24,LOW,3.0
HRM Direct,24,LOW,3.0
Background checking software,24,LOW,3.0
Blackdog,24,LOW,3.0
Advanced business application programming ABAP,23,LOW,3.0
AST Staff Matrix,23,LOW,3.0
Cisco Webex,23,LOW,4.0
Oracle PeopleSoft Human Capital Management,23,LOW,3.0
Resource Edge TalentHook Sphere,23,LOW,3.0
Recruitment management software,23,LOW,3.0
TempWorks recruiting and staffing software,23,LOW,3.0
VCG Pointwing,23,LOW,3.0
Arbita OnePost,23,LOW,3.0
ICIMS,23,LOW,3.0
Workday software,23,LOW,5.0
Adobe LifeCycle Enterprise Suite,22,LOW,3.0
Kronos Workforce HR,22,LOW,3.0
Google,22,LOW,3.0
Micro J Systems PcHunter,22,LOW,3.0
Applicant tracking software,22,LOW,4.0
Drupal,22,LOW,3.0
Silk Road technology OpenHire,22,LOW,3.0
Talent Technology Talemetry,22,LOW,3.0
Vendor management system software,22,LOW,3.0
Talent Technology Resume Mirror,21,LOW,3.0
Bullhorn Applicant Tracking System,21,LOW,3.0
TalentHook,21,LOW,3.0
Sendouts Recruiting,21,LOW,3.0
Bond International Software Bond StaffSuite,21,LOW,3.0
ApplicantPro iApplicants,20,LOW,3.0
Candidate screening software,20,LOW,3.0
Google Meet,20,LOW,3.0
Skype,20,LOW,3.0
Oracle WebLogic Server,20,LOW,3.0
Resume processing software,20,LOW,3.0
BlackDog Recruiting,20,LOW,3.0
Careerbuilder.com,19,LOW,3.0
Resume converter software,19,LOW,3.0
Arbita OneWorld,18,LOW,3.0
Resume extraction and search software,18,LOW,3.0
COATSsql,18,LOW,3.0
Main Sequence Technologies PCRecruiter Resume Inhaler,18,LOW,3.0
Perforce Helix software,18,LOW,3.0
SAP ERP Human Capital Management,18,LOW,3.0
Cluen Encore,18,LOW,3.0
SmugMug Flickr,17,LOW,3.0
DGCC.com RecruitTrack,14,LOW,3.0
